OBJECTID,Prov_Cod,fecha,Muestras,Muestras_Acumulados,ConfirmadosFTM,Confirmados_AcumuladosFTM,Confirmados,Confirmados_Acumulados,Positividad_Dia,POSITIVIDAD_4sem,Positividad_Acum,Recuperados,Recuperados_Acumulados,Tasa_Recup,Muertes,Defunciones_Acumulados,Letalidad_Ac,Activos,Activos_INC_14D,CONFIRM_INC_14,FALLEC_INC_14
102,01,2020/04/11 00:00:00+00,108,4348,24,1355,24,1485,0.222222222222,0.312182741116751,0.341536338546,2,9,0.00606060606060606,1,38,2.927946127946,1438,1.06017191977,1.094499294781,3.222222222222
103,01,2020/04/12 00:00:00+00,90,4438,20,1375,28,1513,0.311111111111,0.310196699073027,0.340919333032,11,20,0.0132187706543291,1,39,2.933245208195,1454,0.933510638297,0.975195822454,2.25
104,01,2020/04/13 00:00:00+00,243,4681,61,1436,60,1573,0.246913580246,0.306966773847803,0.33603930784,5,25,0.0158931977113795,2,41,2.975842339478,1507,0.924648786717,0.96871088861,1.928571428571
105,01,2020/04/14 00:00:00+00,240,4921,66,1502,68,1641,0.283333333333,0.305022458146182,0.333468807153,3,28,0.0170627666057282,0,41,2.998781230956,1572,0.943139678615,0.981884057971,1.5625
106,01,2020/04/15 00:00:00+00,278,5199,71,1573,67,1708,0.241007194244,0.302032913843175,0.328524716291,2,30,0.0175644028103044,4,45,3.043911007025,1633,0.916666666666,0.95423340961,1.368421052631
107,01,2020/04/16 00:00:00+00,201,5400,51,1624,57,1765,0.283582089552,0.300410754294249,0.326851851851,6,36,0.0203966005665722,5,50,3.059490084985,1679,0.780487804878,0.829015544041,1.631578947368
108,01,2020/04/17 00:00:00+00,149,5549,34,1658,38,1803,0.255033557046,0.297519153593579,0.324923409623,10,46,0.0255130338325014,2,52,3.077648363838,1705,0.673209028459,0.728667305848,1.6
109,01,2020/04/18 00:00:00+00,119,5668,34,1692,40,1843,0.336134453781,0.293757870120525,0.325158786167,11,57,0.0309278350515464,5,57,3.075420510037,1729,0.60687732342,0.67089755213,1.478260869565
110,01,2020/04/19 00:00:00+00,102,5770,23,1715,34,1877,0.333333333333,0.292152704135737,0.325303292894,4,61,0.0324986680873735,0,57,3.074054342035,1759,0.630213160333,0.69099099099,1.28
111,01,2020/04/20 00:00:00+00,322,6092,75,1790,95,1972,0.2950310559,0.28892291985707,0.323703217334,4,65,0.0329614604462475,0,57,3.0892494929,1850,0.601731601731,0.658536585365,1.035714285714
112,01,2020/04/21 00:00:00+00,259,6351,62,1852,65,2037,0.250965250965,0.28082304526749,0.320736891828,12,77,0.0378006872852234,4,61,3.117820324005,1899,0.540145985401,0.603937007874,1.033333333333
113,01,2020/04/22 00:00:00+00,257,6608,99,1951,98,2135,0.381322957198,0.281340638092169,0.323093220338,11,88,0.0412177985948478,0,61,3.095081967213,1986,0.507972665148,0.573323507737,0.848484848484
114,01,2020/04/23 00:00:00+00,332,6940,90,2041,102,2237,0.307228915662,0.278600061671292,0.322334293948,10,98,0.0438086723290121,2,63,3.102369244523,2076,0.509818181818,0.577574047954,0.75
115,01,2020/04/24 00:00:00+00,275,7215,76,2117,65,2302,0.236363636363,0.275342255037687,0.319057519057,15,113,0.0490877497827976,2,65,3.134231103388,2124,0.498941425546,0.575633127994,0.756756756756
116,01,2020/04/25 00:00:00+00,181,7396,41,2158,56,2358,0.309392265193,0.271322526889865,0.318820984315,21,134,0.0568278201865988,0,65,3.136556403731,2159,0.501390820584,0.587878787878,0.710526315789
117,01,2020/04/26 00:00:00+00,123,7519,31,2189,48,2406,0.390243902439,0.270385533947458,0.319989360287,2,136,0.056525353283458,3,68,3.125103906899,2202,0.514442916093,0.590218109715,0.743589743589
118,01,2020/04/27 00:00:00+00,409,7928,126,2315,124,2530,0.303178484107,0.274991751897064,0.31912209889,163,299,0.118181818181818,1,69,3.133596837944,2162,0.434638354346,0.608391608391,0.682926829268
119,01,2020/04/28 00:00:00+00,404,8332,125,2440,114,2644,0.282178217821,0.275948968341471,0.317330772923,21,320,0.121028744326778,1,70,3.151285930408,2254,0.433842239185,0.611212675198,0.70731707317
120,01,2020/04/29 00:00:00+00,409,8741,144,2584,141,2785,0.344743276283,0.280654359897944,0.318613430957,14,334,0.119928186714542,1,71,3.138599640933,2380,0.457440293937,0.630562060889,0.577777777777
121,01,2020/04/30 00:00:00+00,436,9177,106,2690,90,2875,0.206422018348,0.277817659727207,0.31328320802,33,367,0.127652173913043,2,73,3.192,2435,0.450268016676,0.628895184135,0.46
122,01,2020/05/01 00:00:00+00,428,9605,151,2841,188,3063,0.439252336448,0.28038808038808,0.31889640812,20,387,0.126346718903036,5,78,3.135814560888,2598,0.523753665689,0.698835274542,0.5
123,01,2020/05/02 00:00:00+00,294,9899,59,2900,180,3243,0.612244897959,0.277081592871067,0.327608849378,39,426,0.131359851988899,0,78,3.052420598211,2739,0.584152689415,0.759631036353,0.368421052631
